tract,state_abbr,year,hpi
1001020100,AL,2000,99.05
1001020300,AL,2000,119.35
1001020400,AL,2000,133.29
1001020501,AL,2000,127.28
1001020502,AL,2000,120.88
1001020503,AL,2000,104.45
1001020600,AL,2000,126.57
1001020801,AL,2000,132.51
1001020803,AL,2000,123.10
1001020804,AL,2000,123.51
1001020805,AL,2000,102.19
1001020902,AL,2000,103.27
1003010300,AL,2000,143.00
1003010400,AL,2000,107.27
1003010500,AL,2000,145.29
1003010704,AL,2000,142.05
1003010706,AL,2000,130.40
1003010707,AL,2000,142.84
1003010708,AL,2000,145.12
1003010709,AL,2000,146.87
1003010710,AL,2000,104.49
1003010711,AL,2000,146.79
1003010800,AL,2000,166.00
1003010903,AL,2000,115.35
1003010904,AL,2000,161.44
1003010906,AL,2000,102.07
1003010907,AL,2000,106.85
1003010908,AL,2000,114.25
1003011000,AL,2000,110.52
1003011102,AL,2000,181.84
1003011103,AL,2000,120.01
1003011104,AL,2000,157.80
1003011201,AL,2000,189.29
1003011202,AL,2000,187.63
1003011300,AL,2000,161.08
1003011409,AL,2000,109.79
1003011410,AL,2000,115.59
1003011411,AL,2000,112.38
1003011413,AL,2000,104.05
1003011414,AL,2000,161.83
1003011415,AL,2000,176.66
1003011416,AL,2000,178.78
1003011417,AL,2000,107.66
1003011418,AL,2000,109.60
1003011419,AL,2000,172.40
1003011501,AL,2000,141.18
1003011503,AL,2000,100.89
1003011504,AL,2000,134.23
1003011601,AL,2000,129.64
1003011603,AL,2000,141.38
1003011604,AL,2000,101.45
1005950100,AL,2000,146.42
1005950500,AL,2000,100.31
1005950700,AL,2000,110.58
1005950800,AL,2000,143.14
1005950900,AL,2000,143.93
1007010005,AL,2000,108.74
1009050105,AL,2000,103.03
1009050601,AL,2000,119.23
1009050603,AL,2000,119.81
1009050604,AL,2000,137.35
1009050701,AL,2000,108.75
1015000900,AL,2000,133.01
1015001000,AL,2000,134.81
1015001103,AL,2000,132.39
1015001201,AL,2000,124.34
1015001202,AL,2000,109.96
1015001600,AL,2000,107.19
1015001700,AL,2000,125.26
1015001802,AL,2000,94.36
1015002002,AL,2000,107.47
1015002102,AL,2000,130.31
1015002104,AL,2000,100.56
1015002400,AL,2000,103.43
1015002502,AL,2000,109.14
1015002503,AL,2000,107.57
1015002504,AL,2000,105.77
1015002600,AL,2000,115.04
1017953800,AL,2000,119.94
1017953900,AL,2000,133.43
1017954200,AL,2000,99.53
1017954300,AL,2000,103.50
1017954600,AL,2000,119.96
1017954700,AL,2000,118.62
1017954800,AL,2000,119.30
1019955900,AL,2000,91.00
1019956000,AL,2000,104.83
1021060101,AL,2000,110.98
1021060104,AL,2000,104.32
1021060300,AL,2000,124.66
1021060401,AL,2000,101.44
1021060404,AL,2000,124.21
1025957902,AL,2000,100.75
1029959600,AL,2000,102.00
1031011203,AL,2000,112.73
1031011204,AL,2000,121.98
1033020100,AL,2000,96.46
1033020400,AL,2000,112.98
1033020500,AL,2000,127.79
1033020703,AL,2000,131.54
1033020704,AL,2000,133.45
1033020706,AL,2000,101.48
1033020801,AL,2000,107.66
1043964100,AL,2000,107.07
1043964201,AL,2000,116.23
1043964202,AL,2000,120.80
1043964300,AL,2000,141.58
1043964400,AL,2000,106.32
1043964600,AL,2000,116.25
1043964700,AL,2000,145.04
1043964800,AL,2000,139.50
1043964901,AL,2000,156.20
1043964902,AL,2000,141.31
1043965001,AL,2000,105.59
1043965002,AL,2000,106.05
1043965100,AL,2000,126.37
1043965200,AL,2000,106.62
1043965300,AL,2000,104.01
1043965401,AL,2000,107.84
1043965402,AL,2000,102.48
1043965502,AL,2000,152.07
1043965600,AL,2000,129.09
1047956102,AL,2000,96.81
1047956701,AL,2000,124.44
1049960303,AL,2000,98.76
1049961000,AL,2000,102.63
1049961200,AL,2000,105.64
1049961300,AL,2000,114.41
1051030101,AL,2000,109.08
1051030200,AL,2000,110.28
1051030300,AL,2000,153.03
1051030401,AL,2000,104.01
1051030402,AL,2000,108.96
1051030500,AL,2000,112.74
1051030600,AL,2000,130.82
1051030701,AL,2000,118.90
1051030702,AL,2000,118.35
1051030802,AL,2000,102.70
1051030901,AL,2000,122.38
1051030902,AL,2000,113.51
1051031001,AL,2000,107.42
1051031002,AL,2000,102.93
1051031100,AL,2000,128.14
1053970100,AL,2000,133.42
1053970500,AL,2000,116.88
1053970700,AL,2000,103.52
1055000400,AL,2000,127.60
1055001100,AL,2000,145.92
1055001200,AL,2000,86.41
1055010401,AL,2000,102.16
1055010402,AL,2000,163.02
1055010503,AL,2000,144.45
1055010504,AL,2000,152.60
1055010505,AL,2000,100.98
1055010506,AL,2000,104.01
1055010601,AL,2000,141.08
1055010700,AL,2000,101.42
